name,singer,lyrics
Ancrée à ton port,Fanny J,"Dis-moi c'que tu as sur le cœur\nPourquoi t'as toujours l'air ailleurs?\nEn moi, je te sens si sensible\nMais tu m'as l'air inaccessible  \n\nParle-moi de toutes tes peurs\nPourquoi tous ces changements d'humeurs\nJ'ai l'impression de te faire fuir\nNe vois-tu pas que de toi, que de toi, que de toi j'ai envie  \n\nDis-moi qu'entre toi et moi, un jour ça va coller\nChérie, tu sais de toi, je n'peux plus me décoller\nJe me suis ancre a ton port, je n'peux plus me décoller\nDis-moi qu'entre toi et moi, un jour ça va coller  \n\nJe n'suis pas sourde (je ne suis pas sourde), j'ai compris tes détours\nÀ pas de velours (à pas de velours), je te vois venir, tu te défiles\nQuoi que tu en dises, je sais que je suis ta hantise\nSi tu le désires, je reprendrais ma vie\nMais je dois te dire, quand même que je t'aime\nJe t'aime  \n\nDis-moi qu'entre toi et moi, un jour ça va coller\nChéri tu sais de toi, je n'peux plus me décoller\nJe me suis ancre a ton port, je n'peux plus me décoller\nDis-moi qu'entre toi et moi, un jour ça va coller  \n\nPrends-moi dans tes bras et dis-moi que tout ira bien\nPuisque dans tes draps, tu m'accueilles, mais il n'se passe rien\nUne lueur d'espoir (d'espoir, d'espoir), donne-moi et tout ira bien\nJe veux me donner (je veux me donner) à toi, tu sais  \n\nPrends-moi dans tes bras et dis-moi que tout ira bien\nPuisque dans tes draps, tu m'accueilles, mais il n'se passe rien\nUne lueur d'espoir, donne-moi et tout ira bien (tout ira bien)\n\nJe veux me donner à toi, tu sais (x4)  \n\nDis-moi qu'entre toi et moi, un jour ça va coller\nChéri tu sais de toi, je n'peux plus me décoller\nJe me suis ancre à ton port, je n'peux plus me décoller\nDis-moi qu'entre toi et moi, un jour ça va coller\nHo, ho-ho\nAh-ah-ah, ah\nHou\nAh"
Andalouse,Kendji Girac,"Tu viens le soir\nDanser sur des airs de guitare\nEt puis tu bouges\nTes cheveux noirs tes lèvres rouges\nTu te balances\nLe reste n'a pas d'importance\nComme un soleil\nTu me brûles et me réveilles\nTu as dans les yeux\nLe sud et le feu\nJe t'ai dans la peau\nBaila baila oh \n\nToi, toi ma belle Andalouse\nAussi belle que jalouse\nQuand tu danses le temps s'arrête\nJe perds le nord je perds la tête\nToi ma belle Espagnole\nQuand tu bouges tes épaules\nJe n'vois plus le monde autour\nC'est peut-être ça l'amour \n\nDes airs d'Orient\nLe sourire et le cœur brûlant\nRegard ébène\nJ'aime te voir bouger comme une reine\nTon corps ondule\nDéjà mes pensées se bousculent\nComme la lumière\nIl n'y a que toi qui m'éclaires\nTu as dans la voix\nLe chaud et le froid\nJe t'ai dans la peau\n(Baïla baïla oh)\n\nToi, toi ma belle Andalouse\nAussi belle que jalouse\nQuand tu danses le temps s'arrête\nJe perds le nord je perds la tête\nToi ma belle Espagnole\nQuand tu bouges tes épaules\nJe n'vois plus le monde autour\nC'est peut-être ça l'amour \n\n(Oh yeah yeah yeah oh oh oh oh)\n(Oh yeah yeah yeah oh oh)\n(Oh yeah yeah yeah oh oh oh oh)\n(Ma belle Andalouse)\n(Oh yeah yeah yeah oh oh)\n(Dos tres baila) \n\n(x 2)\nToi, toi ma belle Andalouse\nAussi belle que jalouse\nQuand tu danses le temps s'arrête\nJe perds le nord je perds la tête\nToi ma belle Espagnole\nQuand tu bouges tes épaules\nJe n'vois plus le monde autour\nC'est peut-être ça l'amour"
Andy,Rita Mitsouko,Hey Andy hé Andy\nC'est une copine à moi\nQui m'a dit qu'tu t'appelais Andy\nAndy\nÇa fait un moment que je te suis Andy\nHé tu viens chez moi\nOu alors on va chez toi\nAllez Andy quoi oh dis-moi oui \n\nChou Andy dis-moi oui \nAndy wo-o-o chou \nAndy dis-moi oui chéri\n\n[Instrumental] \n\nChou Andy dis-lui oui\nAndy dis-lui dis-lui oui \nAndy sois gentil cette fois-ci\n\nLe temps se gâte\nAndy s'en soucie\nAndy attrape son parapluie\nAndy se gratte le coin du sourcil\nC'est Andy Capp c'est bien lui\n\n[Instrumental]\n\nChou Andy dis-moi oui Andy (wo-o-o)\nChou chéri dis-moi oui (oh) oui\n\n[Instrumental]\n\nAndy se hâte\nAndy se méfie\nAndy se tâte est-ce qu'il a envie ?\nAndy jette un œil à la fille et sourit\nAndy est un garçon poli \nAndy se tâte \nAndy se méfie\nAndy se hâte il rentre chez lui\nAndy a toujours évité les ennuis\nAndy se hâte se méfie\nChou\n\nChou Andy dis-moi oui Andy (wo-o-o)\nChou chéri dis-moi oui (oh) oui\nChou Andy dis-moi oui Andy (wo-o-o)\nChou Andy dis-moi oui chéri
Angela (Hatik),Hatik,"Ton visage me dit quelque chose\nJ't'ai d'jà croisée dans la ville\nJ'vais pas t'mentir, j'ai pas maté tes shoes\nT'es la plus fraîche si tu veux mon avis\n\nVas-y prends mon tél\nQuand tu veux t'appelles\nJ'serai à l'hôtel\nDans un nuage de fumée\nJ'te vois derrière les vitres teintées\nCe soir j'vais quitter l'rain-té \n\nRegarde-moi dans les yeux\nEt j'deviens amnésique\nJ'crois qu'ton corps me rappelle\nDes souvenirs d'Amérique\nBébé là j'ai envie d'faire le dingue, fais-moi oublier le binks  (x 2)\nAngela appelle-moi ce soir et j'démarre de la zone  (x 2)\n\nBébé dis-moi c'que tu veux faire, dans quel resto tu veux manger ?\nEst-ce que ça t'dérange si je conduis vite ou est-ce que t'aimes le danger ?\nN'aie pas peur non, non, j'ai pas d'cœur, ouais\nMais j'prendrai soin de toi comme la recette d'un braqueur ouais, ouais\nHatik yo, pas homme de zouk mais homme de sous\nJ'fais des tonnes de billets, viens m'en prendre un petit peu\nTu vois l'porche, j'suis en-dessous, j'suis dans le zoo\nMais t'es la seule que je laiss'rai me descendre à petit feu \n\nAngela appelle-moi ce soir et j'démarre de la zone  (x 4)\n\nRegarde-moi dans les yeux\nEt j'deviens amnésique\nJ'crois qu'ton corps me rappelle\nDes souvenirs d'Amérique\nBébé là j'ai envie d'faire le dingue, fais-moi oublier le binks  (x 2)\nAngela appelle-moi ce soir et j'démarre de la zone  (x 2)"
Angela (Saïan Supa Crew),Saïan Supa Crew,"Ou pé pa sav' \nKi jan mwen enmé\nLé ou ka di mwen ou eksité\nKè an mwen ka pèd kadans lé ou ka alonjé\nKô aw anlè mwen jiska démen\nMwen vlé senti po aw saten\nNou séten nou ké las démen maten \n\nIllico j'mets l'turbo\nJ'adore quand tu m'dis\nLeeroy c'est toi l'plus beau\nT'es celui qu'j'préfère\nCelui qui m'fait grimper aux rideaux\nÀ n'importe quelle heure\nEt dans n'importe quel studio\nTout l'monde sait qu'tu connais\nToutes les ses-po donc on t'aime trop\nOn sait tous qu'avec toi\nOn passera des moments très chauds\nÀ chaque fois qu'tu t'sens seule\nN'hésite pas compose mon numéro\nToi-même tu sais qu'une fois d'plus\nCe sera très chaud \n\n(x 2)\nAngela\nMwen ké fenn tchou aw\nPendan papa'w pa la\nAngela\n\nTrop chichi, trop hein hein\nAngela me tchippe a peur du hein hein\nContraint je suis (suis) une (une) con (con) trainte (trainte)\nC'est par contrat moral qu'elle se retrouve contre un \nNoir à lunettes Vicelow\nHomme de zouk, homme de soukous\nMalhonnête ce coup-ci\nSi j'ai pas elle, j'ai sa cousine\nElle est couci-couça la cousine\nMais j'mettrai un coup à ça\n\n(x 3)\nAngela \nMwen ké fenn tchou aw\nPendan papa'w pa la\nAngela \n\nOu péké jen di mwen awa\nPani pwoblem si papa'w pa la\nTout l'monde te connaît dans l'quartier\nFais pas style tu nous r'connais pas\nT'es celle sur qui tous les gars s'retournent\nEt qui n'marche plus très droit\nAngela\nKa ou ké fè\nSi papa'w sav sa\nOu san fouté\nOu pa ka pèd fwa\nOu ka kontinyé\nÉ sé sa nou enmé\nEvè'w, Angela\n\nAngela \nMwen ké fenn tchou aw\nPendan papa'w pa la\nAngela\nAngela \nMwen ké fenn tchou aw\n\n(x 3)\nAngela \nMwen ké fenn tchou aw\nPendan papa'w pa la\nAngela"
Angela (Yannick Noah),Yannick Noah,"1968 l'Amérique est figée\nUn ange proteste les écrous sont rouillés\nI'm black and I'm proud\nLe souffle des ghettos\nLes gants noirs se lèvent un soir à Mexico\n\nLe rêve martyrisé de Martin Luther King\nUne enfant nue brûlée, Bobby qu'on assassine\nPanthère noire traquée, leçon d'intolérance\nCette femme est coupable, coupable d'espérance\n\nOh Angela Angela\nMy home is your home\nOh Angela Angela\nYou know, you'll never walk alone\n\nEn novembre 2008, un soir à Chicago\nLes États qui s'unissent et changent de peau\nSi le monde s'incline et nous parle de chance\nCe soir Angela, c'est à toi que je pense\n\nOh Angela, Angela\nMy home is your home\nOh Angela, Angela\nYou know, you'll never walk alone \n\nAngela my sister  (x 2)\nMy home is your home\nAngela my sister  (x 2)\nTon nom dans nos vies résonne \n\nOh Angela, Angela\nMy home is your home\nOh Angela, Angela\nTon nom dans nos vies résonne \n\nOh Angela (Angela my sister) Angela  (Angela my sister)\nMy home is your home (my home is your home)\nOh Angela (Angela my sister) Angela  (Angela my sister)\nYou know, you'll never walk alone \n\nOh Angela, Angela\nMy home is your home\nOh Angela, Angela\nYou know, you'll never walk alone"
Animal,Francis Cabrel,"Tu voudrais qu'elle t'aime\nT'as changé tes manières\nTu prends des allures mondaines\nTu racontes seulement tes voyages en première\nEn première\n\nTu veux qu'elle t'estime\nTu sors tes plus belles lectures\nT'as vu des centaines de films\nT'expliques d'où viennent ces tapis sur le mur\nSur le mur\n\nEt y a une heure où va retentir \nLe signal\n\nTu voudrais qu'elle rêve\nTu gardes un petit doigt en l'air\nTu parles de décalages horaires\nDe plages blanches à l'autre bout de la Terre\nDe la Terre\n\nPourquoi pas Venise\nQuand les fontaines s'allument\nEn-dessous des lumières grises\nOn pourrait danser sur le bord des lagunes\nDes lagunes\n\nEt y a une heure où va retentir\nLe signal\nUn moment où tu vas t'sentir\nAnimal    (x 5)\n\nCelui qui attend sous le déluge\nQui couche contre la porte\nCelui qui crie qui hurle\nJusqu'à ce que tu sortes\nQui t'aime dans la voiture\nQui court quand tu appelles\nQui pleure   (x 3)\nMon Dieu que les femmes sont belles\nMon Dieu   (x 3)\nQue les femmes sont\n\nTu voudrais qu'elle danse\nQu'il y ait des fleurs partout par terre\nEt dans le grand silence\nTu te sens capable de marcher sur la mer\nSur la mer\n\nTu voudrais qu'elle t'aime\nTu sors tes plus belles lectures\nEt t'en oublies certaines\nComme ces filles à plat, posées sur tes murs\nSur tes murs\n\nEt y a une heure où va retentir\nLe signal\nUn moment où tu vas t'sentir\nAnimal    (x 5)\n\nAnimal\nLe signal   (x 2)\nAnimal"
Animaux fragiles,Ycare & Zaz ,"Tu sais je suis pas malheureux\nSentimental on peut le dire\nUn peu de buée dans les yeux\nÀ chacun de mes sourires\nEt si cette vie n'était qu'un jeu\nEt si on se moquait de nous\nPourquoi les gens sont si sérieux\nSi Dieu existe elle s'en fout\n\nToi et moi, des animaux fragiles\nEt cette planète n'est qu'une île\nElle-même perdue dans les étoiles\nMais on s'imagine une vie facile\nEt puis qu'on vivra vieux\nRegarde le soleil brille, on est tranquilles\nMa main dans tes cheveux\n\nEntre les rires et la tristesse\nCette vie nous aura à l'usure\nFaut profiter de sa jeunesse\nSans jamais détruire son futur\nOn me dit de bien me tenir\nQue c'est une question d'équilibre\nPourquoi j'ai pas le souvenir\nUn jour d'avoir été libre\n\nToi et moi, des animaux fragiles\nEt cette planète n'est qu'une île\nElle-même perdue dans les étoiles\nMais on s'imagine une vie facile\nEt puis qu'on vivra vieux\nRegarde le soleil brille, on est tranquille\nMa main dans tes cheveux\n\nLa nuit tout seul je me balade\nMais je n'veux pas t'abandonner\nSache que si moi je suis malade\nCe n'est que de t'aimer\n\n(x2)\nToi et moi, des animaux fragiles\nEt cette planète n'est qu'une île\nElle-même perdue dans les étoiles\n\nMais on s'imagine une vie facile\nEt puis qu'on vivra vieux\nRegarde le soleil brille on est tranquille\nMa main dans tes cheveux (x2)"
Anissa,Wejdene,"Wejdene\nAlors comme ça tu m'as trompée\nT'as cru qu'j'allais pas capter\nT'as changé d'parfum d'numéro\nComme si par les keufs t'étais recherché\nApparemment tu n'm'aimes pas\nC'est une autre que t'aimes\nTu parles avec une Anissa\nMais moi j'm'appelle Wejdene \n\nTu prends tes caleçons sales\nEt tu hors de ma vue\nTu n'as pas de principes\nJ'te jure sur ma vie\nMe tromper avec ma cousine\nMais t'as pas de valeurs\nJ'ai appelé mon grand frère\nEt il vient t'à l'heure\n\n(x 2)\nNous deux c'est terminé eh eh\nTu me cherches mais je suis plus là ah ah\nJ'étais déterminée eh eh\nÀ construire quelque chose avec toi ah ah\n\nNous deux c'est terminé\nNous deux c'est fini\nNous deux c'est terminé eh\nNous deux c'est fini\nNous deux c'est terminé eh eh\nC'est fini\nNous deux c'est terminé eh eh\nC'est fini\n\nAlors c'est bon tu m'as trompée\nMaintenant ben, j'vais t'bloquer\nTu rends mes bijoux cadeaux\nEt n'oublie pas de me ramener les clés\nDe toute façon c'est comme ça\nNous deux tu peux oublier\nJe pouvais dead pour toi\nMais tant pis tu m'as pas aidée \n\nTu prends tes caleçons sales\nEt tu hors de ma vue\nTu n'as pas de principes\nJ'te jure sur ma vie\nMe tromper avec ma cousine\nMais t'as pas de valeurs\nJ'ai appelé mon grand frère\nEt il vient t'à l'heure\n\n(x 2) \nNous deux c'est terminé eh eh\nTu me cherches mais je suis plus là ah ah\nJ'étais déterminée eh eh \nÀ construire quelque chose avec toi ah ah \n\nNous deux c'est terminé\nNous deux c'est fini\nNous deux c'est terminé eh\nNous deux c'est fini\nNous deux c'est terminé eh eh\nC'est fini\nNous deux c'est terminé eh eh\nC'est fini"
Anne ma sœur Anne,Louis Chedid,"Anne, ma sœur Anne,\nSi j' te disais c' que j' vois v'nir\nAnne, ma sœur Anne,\nJ'arrive pas à y croire\nC'est comme un cauchemar\nSale cafard\n<br />\nAnne, ma sœur Anne,\nEn écrivant ton journal\nDu fond d' ton placard\nAnne, ma sœur Anne,\nTu pensais qu'on n'oublierait jamais\nMais mauvaise mémoire\n<br />\nElle ressort de sa tanière\nLa nazi-nostalgie\nCroix gammée, bottes à clous\nEt toute la panoplie\nElle a pignon sur rue des adeptes,\nUn parti\nLa voilà revenue\nL'historique hystérie\n<br />\nAnne, ma sœur Anne,\nSi j' te disais c' que j'entends\nAnne, ma sœur Anne,\nLes mêmes discours,\nLes mêmes slogans,\nLes mêmes aboiements\n<br />\nAnne, ma sœur Anne,\nJ'aurais tant voulu te dire\nP'tite fille martyre\nAnne, ma sœur Anne,\nTu peux dormir tranquille\nElle reviendra plus la vermine\n<br />\nMais beaucoup d'indifférence,\nDe patience malvenue\nPour ces anciens damnés\nAu goût de déjà-vu\nBeaucoup trop d'indulgence,\nTrop de bonnes manières\nPour cette nazi-nostalgie\nQui ressort de sa tanière\nComme hier\n<br />\nAnne, ma sœur Anne,\nSi j' te disais c' que j' vois v'nir\nAnne, ma sœur Anne,\nJ'arrive pas à y croire\nC'est comme un cauchemar\nSale cafard"
Anomalie,Louise Attaque,"Si loin de moi\nUn grain de poussière ici-bas\nSi loin de moi\nUn grain de poussière au combat \n \nJ'ai pas choisi d'être seul ici\nPas choisi d'être une anomalie\nVa voir ailleurs et viens voir ici\nNon, pas choisi d'être seul ici\n\nSuis-je un humain sans futur?\nUn matériau à haut taux d'usure?\nJ'ai pas voulu pourtant c'est ainsi\nJ'ai pas choisi d'être seul ici  \n\nSi loin de moi\nUn grain de poussière ici-bas\nSi loin de moi\nUn grain de poussière au combat  \n\nJ'ai pas choisi d'être seul ici\nJ'ai pas choisi pourtant c'est ainsi\nVa voir là-bas, j'y suis moi aussi\nPas choisi d'être une anomalie  \n\nSi loin de moi\nUn grain de poussière ici-bas\nSi loin de moi\nUn grain de poussière au combat\n\nSi loin de moi (même moi)\nUn grain de poussière ici-bas (même toi, même toi)\nSi loin de moi (même moi)\nUn grain de poussière au combat (même toi, même toi)  \n\nTout tourne autour de toi (même moi, même moi)\nTout tourne autour de moi (même toi, même toi)\nTout tourne autour de toi (même toi, même toi)\nTout tourne autour de moi (même moi, même moi)\nTout tourne autour de toi (même moi, même moi)\nTout tourne autour de moi (même toi, même toi)\nTout tourne autour de toi (même toi, même toi)\nTout tourne autour de moi (même moi)  \n\nSi loin de moi\nUn grain de poussière ici-bas\nSi loin de moi\nUn grain de poussière au combat\n\nSi loin de moi (même moi)\nUn grain de poussière ici-bas (même toi, même toi)\nSi loin de moi (même moi)\nUn grain de poussière au combat (même toi, même toi)"
Antisocial,Trust,Tu bosses toute ta vie pour payer ta pierre tombale\nTu masques ton visage en lisant ton journal\nTu marches tel un robot dans les couloirs du métro\nLes gens ne te touchent pas faut faire le premier pas\n\nTu voudrais dialoguer sans renvoyer la balle\nImpossible d'avancer sans ton gilet pare-balles\nTu voudrais donner des yeux à la justice\nImpossible de violer cette femme pleine de vices \n\nAntisocial tu perds ton sang-froid\nRepense à toutes ces années de service\nAntisocial bientôt les années de sévices\nEnfin le temps perdu qu'on ne rattrape plus \n\nÉcraser les gens est devenu ton passe-temps\nEn les éclaboussant tu deviens gênant\nDans ton désespoir il reste un peu d'espoir\nCelui de voir les gens sans fard et moins bâtards\n\nMais cesse de faire le point serre plutôt les poings\nBouge de ta retraite ta conduite est trop parfaite\nRelève la gueule je suis là t'es pas seul\nCeux qui hier t'enviaient aujourd'hui te jugeraient\n\nAntisocial tu perds ton sang-froid\nRepense à toutes ces années de service\nAntisocial bientôt les années de sévices\nEnfin le temps perdu qu'on ne rattrape plus\nQu'on ne rattrape plus \n\n[Instrumental]\n\nTu bosses toute ta vie pour payer ta pierre tombale\nTu masques ton visage en lisant ton journal\nTu marches tel un robot dans les couloirs du métro\nLes gens ne te touchent pas faut faire le premier pas\n\nTu voudrais dialoguer sans renvoyer la balle\nImpossible d'avancer sans ton gilet pare-balles\nTu voudrais donner des yeux à la justice\nImpossible de violer cette femme pleine de vices \n\nAntisocial tu perds ton sang-froid\nRepense à toutes ces années de service\nAntisocial bientôt les années de sévices\nEnfin le temps perdu qu'on ne rattrape plus\nQu'on ne rattrape plus (x 3) \n\nAntisocial   (x 12)
Après vous madame,Gims & Soolking,"La ville scintille au loin dans la nuit\nOn arrive massifs : RS6 fait du bruit\nLes dames en panique, à leur sac s'agrippent\nC'est c'qui arrive quand on arrive en ville\n\nAprès vous, madame\nOuais, après vous, madame\nDe toute façon, moi, j'suis toujours là\nOuais, j'suis là tous les soirs\nAvec deux-trois fêtards\nOn refait l'monde dans un RS3\n(x3) Po, po, po, po, po\nPo, po, po (Hey)\n\nAvant d'penser à aller chiller \nVas-y, fais rentrer les billets\nOuais, fais rentrer les billets violets, verts, orange, bleu, turquoise\nLe jean, il est déchiré (Déchiré)\nUne allure un peu givrée (Givrée)\nJ'envahis ton cœur, tes pensées\nMais là, j'vois qu'y a du monde dans l'rétro\nY a du monde dans l'rétro\nJ'vois qu'y a du monde dans l'rétro\nJ'suis concentré sur autre chose\n\nLa ville scintille au loin dans la nuit\nOn arrive massifs : RS6 fait du bruit\nLes dames en panique, à leur sac s'agrippent\nC'est c'qui arrive quand on arrive en ville\n\nAprès vous, madame\nOuais, après vous, madame\nDe toute façon, moi, j'suis toujours là\nOuais, j'suis là tous les soirs\nAvec deux-trois fêtards\nOn refait l'monde dans un RS3\n(x3) Po, po, po, po, po\nPo, po, po\n\nOuah habiba, qué tal ? \nEst-ce que t'es une fêtarde ? (Non)\nTu veux que je pose les tals ? (Ah ouais ?)\nEt sous tes pieds, les pétales, ouais, ouais\nAh là c'est sale, quand il y a tous mes srabs\nOn fait tiser l'marchand d'sable\nEt on t'invite à notre table, ouais, ouais\nÇa va trop vite, quand les bouteilles se vident \nOn va rester polis (Ouais), n'appelez pas la police (Nan, nan, nan)\nÇa va trop vite, quand les bouteilles se vident \nOn va rester polis, n'appelez pas la police (Yeah, yeah, yeah)\n\nLa ville scintille au loin dans la nuit\nOn arrive massifs : RS6 fait du bruit\nLes dames en panique, à leur sac s'agrippent\nC'est c'qui arrive quand on arrive en ville\n\nAprès vous, madame\nOuais, après vous, madame\nDe toute façon, moi, j'suis toujours là\nOuais, j'suis là tous les soirs\nAvec deux-trois fêtards\nOn refait l'monde dans un RS3\n(x3) Po, po, po, po, po\nPo, po, po\n\nOn veut la dolce vita, la dolce vita, la dolce vita, la dolce vita\nOn veut la dolce vita, la dolce vita, la dolce vita, j'veux la dolce vita"
Aragon et Castille,Boby Lapointe,Au pays daga d'Aragon\nIl y avait ugud une fille\nQui aimait les glaces au citron\nEt vanille\nAu pays degue de Castille\nIl y avait tegued un garçon\nQui vendait des glaces vanille\nEt citron\n\nMoi j'aime mieux les glaces au chocolat\nPoils au bras\nMais chez mon pâtissier il n'y en a plus\nC'est vendu\nC'est pourquoi je n'en ai pas pris\nTant pis pour lui\nEt j'ai mangé pour tout dessert\nDu camembert\nLe camembert c'est bon quand c'est bien fait\nVive l'amour\nÀ ce propos revenons à nos moutons\n\nAu pays daga d'Aragon\nIl y avait ugud une fille\nQui aimait les glaces au citron\nEt vanille\nAu pays degue de Castille\nIl y avait tegued un garçon\nQui vendait des glaces vanille\nEt citron\n\nVendre des glaces c'est un très beau métier\nPoils aux pieds\nC'est beaucoup mieux que marchand de mouron\nPatapon\nMarchand d'mouron c'est pas marrant\nJ'ai un parent\nQui en vendait pour les oiseaux\nMais les oiseaux\nN'en achetaient pas ils préféraient l'crottin\nDe mouton\nÀ ce propos revenons à nos agneaux\n\nAu pays daga d'Aragon\nIl y avait ugud une fille\nQui aimait les glaces au citron\nEt vanille\nAu pays degue de Castille\nIl y avait tegued un garçon\nQui vendait des glaces vanille\nEt citron\n\nMais la Castille ça n'est pas l'Aragon\nAh mais non\nEt l'Aragon ce n'est pas la Castille\nEt la fille\nS'est passée de glace au citron\nAvec vanille\nEt le garçon n'a rien vendu\nTout a fondu\nDans un commerce c'est moche quand le fond fond\nPoils aux pieds\nÀ propos d'pieds chantons jusqu'à demain\n\nAu pays daga d'Aragon\nIl y avait ugud une fille\nQui aimait les glaces au citron\nEt vanille\nAu pays degue de Castille\nIl y avait tegued un garçon\nQui vendait des glaces vanille\nEt citron
Argent trop cher,Téléphone,"Prenez un enfant\nEt faites-en un roi\nCouvrez-le d'or et de diamants\nCachez-vous en attendant\nVous n'attendrez pas longtemps\nLes vautours tournent autour de l'enfant \n\nLe blé a les dents acérées\nEt les hyènes vont le dévorer\nLe môme deviendra banquier\nOu le môme sera lessivé lessivé lessivé \n\nJe dis\nArgent trop cher\nTrop grand\nLa vie n'a pas de prix\nArgent trop cher\nTrop grand\nMa vie n'a pas de prix\nPas de prix   (x 2) \n\nPrends ton meilleur ami\nFais-en un ennemi\nJe t'achète et je te vends\nVautré dans le coma\nDu commun des mortels\nMon pote t'es comme un rat\nT'es commun c'est mortel\nLes vautours tournent autour toujours\nCriez non à l'esclavage\nEt payez-leur de nouvelles cages\nFaites installer des péages\nLà où commence la rage\n\nArgent trop cher\nTrop grand\nLa vie n'a pas de prix\nJe dis\nArgent trop cher\nTrop grand \nMa vie n'a pas de prix\nNon!\nUn compte bloqué\nL'autre à découvert\nMaintenant, banque !\nLes vautours tournent autour de nous maintenant \nTu en as, tu n'en n'as pas\nTu n'as pas vraiment le choix\nUn mur de briques devant toi\nIl est temps\nDépense-toi   (x 2) \n\nJe dis\nArgent trop cher\nTrop grand\nLa vie n'a pas de prix\nArgent trop cher\nTrop grand \nMa vie n'a pas de prix\nArgent trop cher\nTrop grand\nLa vie n'a pas de prix\nMoi je dis\nArgent trop cher\nTrop grand \nMa vie n'a pas de prix, pas de prix\n\nPas de prix   (x 5)\n\nTrop cher, trop grand   (x 3)\nTrop cher\n\nMa vie n'a pas de prix, pas de prix!"
Armstrong,Claude Nougaro,"Armstrong je ne suis pas noir\nJe suis blanc de peau\nQuand on veut chanter l'espoir\nQuel manque de pot\nOui j'ai beau voir le ciel, l'oiseau\nRien, rien, rien ne luit là-haut\nLes anges zéro\nJe suis blanc de peau \n\nArmstrong tu te fends la poire\nOn voit toutes tes dents\nMoi je broie plutôt du noir\nDu noir en dedans\nChante pour moi Louis, oh oui\nChante, chante, chante ça tient chaud\nJ'ai froid oh moi\nQui suis blanc de peau\n\nArmstrong la vie quelle histoire\nC'est pas très marrant\nQu'on l'écrive blanc sur noir\nOu bien noir sur blanc\nOn voit surtout du rouge, du rouge\nSang, sang, sans trêve ni repos\nQu'on soit ma foi\nNoir ou blanc de peau \n\nArmstrong un jour tôt ou tard\nOn n'est que des os\nEst-ce que les tiens seront noirs\nCe s'rait rigolo\nAllez Louis, alléluia\nAu-delà de nos oripeaux\nNoir et blanc\nSont ressemblants\nComme deux gouttes d'eau"
Arnold et Willy,Jean-Pierre Jaubert dans Arnold et Willy,"Personne dans le monde \nNe marche du même pas\nEt même si la Terre est ronde\nOn ne se rencontre pas\nLes apparences et les préférences\nOnt trop d'importance\nAcceptons les différences\nC'est vrai\nFaut de tout, tu sais\nFaut de tout, c'est vrai\nFaut de tout pour faire un monde\n\nPersonne dans la vie ne choisit sa couleur\nL'important c'est d'écouter son cœur\nSi celui du copain est différent, très bien\nC'est le sien, tu as le tien et j'ai le mien\nAlors tendons-nous la main\n\nPersonne dans le monde \nNe marche du même pas\nEt même si la Terre est ronde\nOn ne se rencontre pas\nLes apparences et les préférences\nOnt trop d'importance\nAcceptons les différences\nC'est vrai\nFaut de tout, tu sais\nFaut de tout, c'est vrai\nFaut de tout pour faire un monde\n\nCe qui compte dans la vie c'est le bonheur\nChacun de nous le trouve à son heure\nTu peux le partager alors c'est gagné\nN'attends pas demain ici tout va pour l'mieux\nOn pourra tous être heureux\n\nPersonne dans le monde \nNe marche du même pas\nEt même si la Terre est ronde\nOn ne se rencontre pas\nLes apparences et les préférences\nOnt trop d'importance\nAcceptons les différences\nC'est vrai\nFaut de tout, tu sais\nFaut de tout, c'est vrai\nFaut de tout pour faire un monde\n\nFaut de tout, tu sais\nFaut de tout, c'est vrai\nFaut de tout pour faire un monde oui c'est vrai\nTu sais, faut de tout pour faire un monde"
Assassine,Pascal Obispo,"Assassine\nAssassine\nTant de jours de mois passés\nEffacés et classés\nLes maux et moments\nDes plaisirs dépassés\n\nAux cimes de mes désirs\nTon ventre se dessine\nAssez de simagrées\nTu m'as choisi pour cible\nAssassine\n\nSi je te suis des yeux\nNe crois pas que c'est un jeu\n\nMais si tu m'assassines aussi souvent\nMais, le couteau dans la plaie trop souvent\nJe préférerais que tu m'assassines\nPour de bon maintenant\nJe ne supporterai pas longtemps\nQue tu m'assassines autant\n\nJ'en ai le souffle coupé\nJe suis touché de plein fouet\nTu persistes et signes\nC'est lourd les regrets\nAssassine\n\n(Mais ?) C'est sublime mais il m'assomme\nCe bébé, mais c'est un beau prétexte en somme\nComme si l'amour ne durait tout le temps\nMaintenant, je te fuirai des yeux\nMême si mon cœur brûle encore le feu\n\nMais si tu m'assassines aussi souvent\nMais, le couteau dans la plaie trop souvent\nJe préférerais que tu m'assassines\nPour de bon maintenant\nJe ne supporterai pas longtemps\nQue tu m'assassines autant\n\nMais si tu m'assassines aussi souvent\nMais, le couteau dans la plaie trop souvent\nJe préférerais que tu m'assassines\nPour de bon maintenant\nJe ne supporterai pas longtemps\nQue tu m'assassines autant"
